Sun Oct 02 00:03:00 IDT 2022 | Display is 1
Sun Oct 02 00:03:28 IDT 2022 |  ----------  SUCCESS! ----------- Test: test02_verifySubtractionOperation Passed ------------------
Sun Oct 02 00:03:28 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 00:03:28 IDT 2022 | File was deleted successfully
Sun Oct 02 00:03:29 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 00:03:29 IDT 2022 | ================================================================================================================

Sun Oct 02 12:06:20 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:06:20 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:06:42 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:06:42 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:07:16 IDT 2022 | Number a is 1234
Sun Oct 02 12:07:16 IDT 2022 | Number b is 1200
Sun Oct 02 12:07:26 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:07:26 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:07:27 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:07:27 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:07:27 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:07:27 IDT 2022 | ================================================================================================================

Sun Oct 02 12:09:11 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:09:11 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:09:20 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:09:21 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:09:28 IDT 2022 | Number a is 1234
Sun Oct 02 12:09:28 IDT 2022 | Number b is 1200
Sun Oct 02 12:10:15 IDT 2022 | Display is 2,434
Sun Oct 02 12:10:21 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:10:21 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:10:23 IDT 2022 | Sun Oct 02 12:09:21 IDT 2022test01_verifyAdditionCommandSCREENSHOT TAKEN : 
Sun Oct 02 12:10:24 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:10:24 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 12:14:09 IDT 2022 | ---------------------- Test test02_verifySubtractionOperation Failed ------------------
Sun Oct 02 12:14:09 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:14:17 IDT 2022 | Sun Oct 02 12:10:24 IDT 2022test02_verifySubtractionOperationSCREENSHOT TAKEN : 
Sun Oct 02 12:14:35 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:14:35 IDT 2022 | ================================================================================================================

Sun Oct 02 12:31:00 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:31:00 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:31:07 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:31:08 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:31:12 IDT 2022 | Number a is 1234
Sun Oct 02 12:31:12 IDT 2022 | Number b is 1200
Sun Oct 02 12:31:42 IDT 2022 | Display is 2,434
Sun Oct 02 12:31:44 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:31:44 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:31:44 IDT 2022 | Sun Oct 02 12:31:08 IDT 2022test01_verifyAdditionCommandSCREENSHOT TAKEN : 
Sun Oct 02 12:31:45 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:31:45 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 12:31:55 IDT 2022 | Display is 1
Sun Oct 02 12:32:09 IDT 2022 |  ----------  SUCCESS! ----------- Test: test02_verifySubtractionOperation Passed ------------------
Sun Oct 02 12:32:09 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 12:32:09 IDT 2022 | File was deleted successfully
Sun Oct 02 12:32:09 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:32:09 IDT 2022 | ================================================================================================================

Sun Oct 02 12:33:39 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:33:39 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:33:47 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:33:47 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:34:06 IDT 2022 | Number a is 1234
Sun Oct 02 12:34:06 IDT 2022 | Number b is 1200
Sun Oct 02 12:34:13 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:34:13 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:34:14 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 12:34:14 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:34:14 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:34:14 IDT 2022 | ================================================================================================================

Sun Oct 02 12:34:40 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:34:40 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:34:41 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:35:47 IDT 2022 |  :---------------------- Skipping Test test01_verifyAdditionCommand -----------------
Sun Oct 02 12:35:47 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:35:47 IDT 2022 | ================================================================================================================

Sun Oct 02 12:35:53 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:35:53 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:36:01 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:36:02 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:36:06 IDT 2022 | Number a is 1234
Sun Oct 02 12:36:06 IDT 2022 | Number b is 1200
Sun Oct 02 12:36:51 IDT 2022 | Display is 2,434
Sun Oct 02 12:36:54 IDT 2022 |  ----------  SUCCESS! ----------- Test: test01_verifyAdditionCommand Passed ------------------
Sun Oct 02 12:36:54 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 12:36:54 IDT 2022 | File was deleted successfully
Sun Oct 02 12:36:54 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:36:54 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 12:37:10 IDT 2022 | Display is 1
Sun Oct 02 12:37:19 IDT 2022 |  ----------  SUCCESS! ----------- Test: test02_verifySubtractionOperation Passed ------------------
Sun Oct 02 12:37:19 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 12:37:19 IDT 2022 | File was deleted successfully
Sun Oct 02 12:37:20 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:37:20 IDT 2022 | ================================================================================================================

Sun Oct 02 12:41:42 IDT 2022 | 
================================================================================================================
Sun Oct 02 12:41:42 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 12:41:51 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:41:52 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 12:41:55 IDT 2022 | Number a is 833
Sun Oct 02 12:41:55 IDT 2022 | Number b is 12
Sun Oct 02 12:42:16 IDT 2022 | Display is 845
Sun Oct 02 12:42:19 IDT 2022 |  ----------  SUCCESS! ----------- Test: test01_verifyAdditionCommand Passed ------------------
Sun Oct 02 12:42:20 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 12:42:20 IDT 2022 | File was deleted successfully
Sun Oct 02 12:42:20 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 12:42:20 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 12:42:39 IDT 2022 | Display is -8
Sun Oct 02 12:42:43 IDT 2022 | ---------------------- Test test02_verifySubtractionOperation Failed ------------------
Sun Oct 02 12:42:43 IDT 2022 | ScreenShot taken!
Sun Oct 02 12:42:44 IDT 2022 | Sun Oct 02 12:42:20 IDT 2022test02_verifySubtractionOperationSCREENSHOT TAKEN : 
Sun Oct 02 12:42:45 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 12:42:45 IDT 2022 | ================================================================================================================

Sun Oct 02 13:01:48 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:01:48 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:01:57 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:01:58 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:02:22 IDT 2022 | Display is 899
Sun Oct 02 13:02:27 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:02:27 IDT 2022 | ScreenShot taken!
